IMF32, Wait until they are done, Information, 12/05/2016 01:30:59
IMF32, Cleanup VMs, Information, 12/05/2016 01:52:38
IMF32, Update CustomSettings.ini, Information, 12/05/2016 01:52:45
IMF32, Cleanup MDT Monitoring data, Information, 12/05/2016 01:52:45
IMF32, Show the WIM's, Information, 12/05/2016 01:52:45
IMF32, Could not find D:\MDTBuildLab\Captures\REFWS2012R2-003.wim, something wnet wrong, Warning, 12/05/2016 01:52:45
IMF32, The script took 0:Days 0:Hours 22:Minutes to complete., Information, 12/05/2016 01:52:45
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/05/2016 01:53:20
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/05/2016 01:53:20
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 01:53:20
IMF32, Importing modules, Information, 12/05/2016 01:53:20
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 01:53:20
IMF32, Verify Connection to DeploymentRoot, Information, 12/05/2016 01:53:20
IMF32, Connect to MDT, Information, 12/05/2016 01:53:20
IMF32, Connected to D:\MDTBuildLab, Information, 12/05/2016 01:53:20
IMF32, Get MDT Settings, Information, 12/05/2016 01:53:20
IMF32, Check if we should update the boot image, Information, 12/05/2016 01:53:20
IMF32, Check if we should use MDTmonitoring, Information, 12/05/2016 01:53:20
IMF32, Using MDT monitoring, Information, 12/05/2016 01:53:20
IMF32, Verify access to boot image, Information, 12/05/2016 01:53:20
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/05/2016 01:53:20
IMF32, Get TaskSequences, Information, 12/05/2016 01:53:20
IMF32, Found 1 TaskSequences to work on, Information, 12/05/2016 01:53:20
IMF32, Get detailed info about the task sequences, Information, 12/05/2016 01:53:20
IMF32, REFWS2012R2-003 Ref Windows Server 2012 R2 Datacenter x64 - 6.3.9600.17415 1.0, Information, 12/05/2016 01:53:20
IMF32, Verify Connection to Hyper-V host, Information, 12/05/2016 01:53:20
IMF32, Upload boot image to Hyper-V host, Information, 12/05/2016 01:53:33
IMF32, Remove old WIM files in the capture folder, Information, 12/05/2016 01:53:34
IMF32, Create the VM's on Host, Information, 12/05/2016 01:53:34
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 12/05/2016 01:53:41
IMF32, Start VM's on Host, Information, 12/05/2016 01:53:43
IMF32, ConcurrentRunningVMs is set to: 2, Information, 12/05/2016 01:53:43
IMF32, Wait until they are done, Information, 12/05/2016 01:54:19
IMF32, Cleanup VMs, Information, 12/05/2016 02:27:49
IMF32, Update CustomSettings.ini, Information, 12/05/2016 02:27:53
IMF32, Cleanup MDT Monitoring data, Information, 12/05/2016 02:27:53
IMF32, Show the WIM's, Information, 12/05/2016 02:27:53
IMF32, Could not find D:\MDTBuildLab\Captures\REFWS2012R2-003.wim, something wnet wrong, Warning, 12/05/2016 02:27:53
IMF32, The script took 0:Days 0:Hours 34:Minutes to complete., Information, 12/05/2016 02:27:53
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/05/2016 02:28:26
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/05/2016 02:28:26
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 02:28:26
IMF32, Importing modules, Information, 12/05/2016 02:28:26
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 02:28:26
IMF32, Verify Connection to DeploymentRoot, Information, 12/05/2016 02:28:26
IMF32, Connect to MDT, Information, 12/05/2016 02:28:26
IMF32, Connected to D:\MDTBuildLab, Information, 12/05/2016 02:28:26
IMF32, Get MDT Settings, Information, 12/05/2016 02:28:26
IMF32, Check if we should update the boot image, Information, 12/05/2016 02:28:26
IMF32, Check if we should use MDTmonitoring, Information, 12/05/2016 02:28:26
IMF32, Using MDT monitoring, Information, 12/05/2016 02:28:26
IMF32, Verify access to boot image, Information, 12/05/2016 02:28:26
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/05/2016 02:28:26
IMF32, Get TaskSequences, Information, 12/05/2016 02:28:26
IMF32, Found 1 TaskSequences to work on, Information, 12/05/2016 02:28:27
IMF32, Get detailed info about the task sequences, Information, 12/05/2016 02:28:27
IMF32, REFWS2012R2-003 Ref Windows Server 2012 R2 Datacenter x64 - 6.3.9600.17415 1.0, Information, 12/05/2016 02:28:27
IMF32, Verify Connection to Hyper-V host, Information, 12/05/2016 02:28:27
IMF32, Upload boot image to Hyper-V host, Information, 12/05/2016 02:28:38
IMF32, Remove old WIM files in the capture folder, Information, 12/05/2016 02:28:39
IMF32, Create the VM's on Host, Information, 12/05/2016 02:28:39
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 12/05/2016 02:28:46
IMF32, Start VM's on Host, Information, 12/05/2016 02:28:50
IMF32, ConcurrentRunningVMs is set to: 2, Information, 12/05/2016 02:28:50
IMF32, Wait until they are done, Information, 12/05/2016 02:29:25
IMF32, Cleanup VMs, Information, 12/05/2016 02:40:48
IMF32, Update CustomSettings.ini, Information, 12/05/2016 02:40:52
IMF32, Cleanup MDT Monitoring data, Information, 12/05/2016 02:40:52
IMF32, Show the WIM's, Information, 12/05/2016 02:40:52
IMF32, Could not find D:\MDTBuildLab\Captures\REFWS2012R2-003.wim, something wnet wrong, Warning, 12/05/2016 02:40:52
IMF32, The script took 0:Days 0:Hours 12:Minutes to complete., Information, 12/05/2016 02:40:52
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/05/2016 03:19:19
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/05/2016 03:19:19
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 03:19:19
IMF32, Importing modules, Information, 12/05/2016 03:19:19
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 03:19:19
IMF32, Verify Connection to DeploymentRoot, Information, 12/05/2016 03:19:19
IMF32, Connect to MDT, Information, 12/05/2016 03:19:19
IMF32, Connected to D:\MDTBuildLab, Information, 12/05/2016 03:19:19
IMF32, Get MDT Settings, Information, 12/05/2016 03:19:19
IMF32, Check if we should update the boot image, Information, 12/05/2016 03:19:19
IMF32, Check if we should use MDTmonitoring, Information, 12/05/2016 03:19:19
IMF32, Using MDT monitoring, Information, 12/05/2016 03:19:19
IMF32, Verify access to boot image, Information, 12/05/2016 03:19:19
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/05/2016 03:19:19
IMF32, Get TaskSequences, Information, 12/05/2016 03:19:19
IMF32, Found 1 TaskSequences to work on, Information, 12/05/2016 03:19:19
IMF32, Get detailed info about the task sequences, Information, 12/05/2016 03:19:19
IMF32, REFWS2012R2-003 Ref Windows Server 2012 R2 Datacenter x64 - 6.3.9600.17415 1.0, Information, 12/05/2016 03:19:19
IMF32, Verify Connection to Hyper-V host, Information, 12/05/2016 03:19:19
IMF32, Upload boot image to Hyper-V host, Information, 12/05/2016 03:19:35
IMF32, Remove old WIM files in the capture folder, Information, 12/05/2016 03:19:36
IMF32, Create the VM's on Host, Information, 12/05/2016 03:19:36
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 12/05/2016 03:19:43
IMF32, Start VM's on Host, Information, 12/05/2016 03:19:46
IMF32, ConcurrentRunningVMs is set to: 2, Information, 12/05/2016 03:19:46
IMF32, Wait until they are done, Information, 12/05/2016 03:20:22
IMF32, Update CustomSettings.ini, Information, 12/05/2016 03:21:29
IMF32, Cleanup MDT Monitoring data, Information, 12/05/2016 03:21:29
IMF32, The script took 0:Days 0:Hours 2:Minutes to complete., Information, 12/05/2016 03:21:29
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/05/2016 03:22:34
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/05/2016 03:22:34
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 03:22:34
IMF32, Testmode is now True, Information, 12/05/2016 03:22:34
IMF32, Importing modules, Information, 12/05/2016 03:22:34
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 03:22:34
IMF32, Verify Connection to DeploymentRoot, Information, 12/05/2016 03:22:34
IMF32, Connect to MDT, Information, 12/05/2016 03:22:34
IMF32, Connected to D:\MDTBuildLab, Information, 12/05/2016 03:22:34
IMF32, Get MDT Settings, Information, 12/05/2016 03:22:34
IMF32, Check if we should update the boot image, Information, 12/05/2016 03:22:34
IMF32, Check if we should use MDTmonitoring, Information, 12/05/2016 03:22:34
IMF32, Using MDT monitoring, Information, 12/05/2016 03:22:34
IMF32, Verify access to boot image, Information, 12/05/2016 03:22:34
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/05/2016 03:22:34
IMF32, Get TaskSequences, Information, 12/05/2016 03:22:34
IMF32, Found 1 TaskSequences to work on, Information, 12/05/2016 03:22:34
IMF32, Get detailed info about the task sequences, Information, 12/05/2016 03:22:34
IMF32, REFWS2012R2-003 Ref Windows Server 2012 R2 Datacenter x64 - 6.3.9600.17415 1.0, Information, 12/05/2016 03:22:34
IMF32, Verify Connection to Hyper-V host, Information, 12/05/2016 03:22:34
IMF32, Upload boot image to Hyper-V host, Information, 12/05/2016 03:22:50
IMF32, Remove old WIM files in the capture folder, Information, 12/05/2016 03:22:51
IMF32, Create the VM's on Host, Information, 12/05/2016 03:22:51
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 12/05/2016 03:22:55
IMF32, Start VM's on Host, Information, 12/05/2016 03:22:58
IMF32, ConcurrentRunningVMs is set to: 2, Information, 12/05/2016 03:22:58
IMF32, Wait until they are done, Information, 12/05/2016 03:23:34
IMF32, Update CustomSettings.ini, Information, 12/05/2016 03:44:42
IMF32, Cleanup MDT Monitoring data, Information, 12/05/2016 03:44:42
IMF32, The script took 0:Days 0:Hours 22:Minutes to complete., Information, 12/05/2016 03:44:42
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/05/2016 04:18:40
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/05/2016 04:18:40
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 04:18:40
IMF32, Importing modules, Information, 12/05/2016 04:18:40
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/05/2016 04:18:40
IMF32, Verify Connection to DeploymentRoot, Information, 12/05/2016 04:18:40
IMF32, Connect to MDT, Information, 12/05/2016 04:18:40
IMF32, Connected to D:\MDTBuildLab, Information, 12/05/2016 04:18:40
IMF32, Get MDT Settings, Information, 12/05/2016 04:18:40
IMF32, Check if we should update the boot image, Information, 12/05/2016 04:18:40
IMF32, Check if we should use MDTmonitoring, Information, 12/05/2016 04:18:40
IMF32, Using MDT monitoring, Information, 12/05/2016 04:18:40
IMF32, Verify access to boot image, Information, 12/05/2016 04:18:40
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/05/2016 04:18:40
IMF32, Get TaskSequences, Information, 12/05/2016 04:18:40
IMF32, Found 4 TaskSequences to work on, Information, 12/05/2016 04:18:40
IMF32, Get detailed info about the task sequences, Information, 12/05/2016 04:18:40
IMF32, REFWS2012R2-003 Ref Windows Server 2012 R2 Datacenter x64 - 6.3.9600.17415 1.0, Information, 12/05/2016 04:18:40
IMF32, REFWS2012R2-001 Ref Windows Server 2012 R2 Standard x64 - 6.3.9600.17415 1.0, Information, 12/05/2016 04:18:40
IMF32, REFWS2016-001 Ref Windows Server 2016 x64 DataCenter 1.0, Information, 12/05/2016 04:18:40
IMF32, REFWS2016-003 Ref Windows Server 2016 x64 Standard 1.0, Information, 12/05/2016 04:18:40
IMF32, Verify Connection to Hyper-V host, Information, 12/05/2016 04:18:40
IMF32, Upload boot image to Hyper-V host, Information, 12/05/2016 04:18:51
IMF32, Remove old WIM files in the capture folder, Information, 12/05/2016 04:18:52
IMF32, Create the VM's on Host, Information, 12/05/2016 04:18:52
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 12/05/2016 04:19:18
IMF32, Start VM's on Host, Information, 12/05/2016 04:19:26
IMF32, ConcurrentRunningVMs is set to: 2, Information, 12/05/2016 04:19:26
IMF32, Wait until they are done, Information, 12/05/2016 07:24:04
IMF32, Cleanup VMs, Information, 12/05/2016 08:49:25
IMF32, Update CustomSettings.ini, Information, 12/05/2016 08:49:33
IMF32, Cleanup MDT Monitoring data, Information, 12/05/2016 08:49:33
IMF32, Show the WIM's, Information, 12/05/2016 08:49:33
IMF32, WIM: D:\MDTBuildLab\Captures\REFWS2012R2-003.wim, Information, 12/05/2016 08:49:33
